label,trial,nmse,num_modes,dimension,dataset
General Encoding,20,1.4183038743496873e-05,12,78,Double-scroll
General Encoding,21,2.8940621772824194e-05,12,78,Double-scroll
General Encoding,22,1.2950265476137324e-05,12,78,Double-scroll
General Encoding,23,1.3233479734188798e-05,12,78,Double-scroll
General Encoding,24,3.422890777447019e-05,12,78,Double-scroll
General Encoding,0,0.0002077842138769649,14,105,Double-scroll
General Encoding,1,2.196448819283143e-05,14,105,Double-scroll
General Encoding,2,3.078855972976242e-05,14,105,Double-scroll
General Encoding,3,7.0124410638083426e-06,14,105,Double-scroll
General Encoding,4,2.0277904511723576e-05,14,105,Double-scroll
General Encoding,5,1.994225032449089e-05,14,105,Double-scroll
General Encoding,6,1.9426575875786236e-05,14,105,Double-scroll
General Encoding,7,1.789855065231749e-05,14,105,Double-scroll
General Encoding,8,1.7401334775142444e-05,14,105,Double-scroll
General Encoding,9,1.0467021214983744e-05,14,105,Double-scroll
General Encoding,10,1.920678193656713e-05,14,105,Double-scroll
General Encoding,11,4.680914950714999e-05,14,105,Double-scroll
General Encoding,12,6.791154181157307e-05,14,105,Double-scroll
General Encoding,13,8.497855494612839e-06,14,105,Double-scroll
General Encoding,14,4.382698863185203e-05,14,105,Double-scroll
General Encoding,15,1.563862205719018e-05,14,105,Double-scroll
General Encoding,16,1.5375586375016676e-05,14,105,Double-scroll
General Encoding,17,1.7337409183518774e-05,14,105,Double-scroll
General Encoding,18,3.019800356530483e-05,14,105,Double-scroll
General Encoding,19,1.3375466581707072e-05,14,105,Double-scroll
General Encoding,20,1.0210491942413164e-05,14,105,Double-scroll
General Encoding,21,1.5094469710551761e-05,14,105,Double-scroll
General Encoding,22,1.083615251438395e-05,14,105,Double-scroll
General Encoding,23,9.392828275077918e-06,14,105,Double-scroll
General Encoding,24,2.4221378838575572e-05,14,105,Double-scroll
best ESN fixedNeurons,0,0.026001277888413995,4,4,Double-scroll
best ESN fixedNeurons,1,0.016456769943569906,4,4,Double-scroll
best ESN fixedNeurons,2,0.15392774421244806,4,4,Double-scroll
best ESN fixedNeurons,3,0.037917200914072434,4,4,Double-scroll
best ESN fixedNeurons,4,0.1048723068710421,4,4,Double-scroll
best ESN fixedNeurons,5,0.17580649603081444,4,4,Double-scroll
best ESN fixedNeurons,6,0.025964603012070347,4,4,Double-scroll
best ESN fixedNeurons,7,0.07193322135550065,4,4,Double-scroll
best ESN fixedNeurons,8,0.06747544050852487,4,4,Double-scroll
best ESN fixedNeurons,9,0.014380269338793961,4,4,Double-scroll
best ESN fixedNeurons,10,0.03002823035693217,4,4,Double-scroll
best ESN fixedNeurons,11,0.04635262750967373,4,4,Double-scroll
best ESN fixedNeurons,12,0.012627210910515187,4,4,Double-scroll
best ESN fixedNeurons,13,0.024710136283232063,4,4,Double-scroll
best ESN fixedNeurons,14,0.057301040801241376,4,4,Double-scroll
best ESN fixedNeurons,15,0.023226994695057564,4,4,Double-scroll
best ESN fixedNeurons,16,0.024022841105744326,4,4,Double-scroll
best ESN fixedNeurons,17,0.051078115031256255,4,4,Double-scroll
best ESN fixedNeurons,18,0.04417636301543802,4,4,Double-scroll
best ESN fixedNeurons,19,0.03011851021646384,4,4,Double-scroll
best ESN fixedNeurons,20,0.06907389591917854,4,4,Double-scroll
