dataset,label,nmse,corrcoeff,n,alpha,spectral_radius,input_scale,sparsity,hidden_dim,epochs,learning_rate,dropout_rate,seed,show_progress
Double-scroll,ESN,0.0009973421555947342,[0.99948491 0.9970625  0.99896557],40.0,0.7,0.9,1.0,0.05,,,,,,
Double-scroll,ESN,0.000783792206581004,[0.99953407 0.997321   0.99930308],40.0,0.7,0.9,1.0,0.1,,,,,,
Double-scroll,ESN,0.0008963542831058776,[0.99954216 0.99721227 0.99908514],40.0,0.7,0.9,1.0,0.15,,,,,,
Double-scroll,ESN,0.0010553034416007283,[0.99951682 0.99685491 0.99885916],40.0,0.7,0.9,1.0,0.2,,,,,,
Double-scroll,ESN,0.0020846203156990833,[0.9990139  0.99459007 0.99765639],40.0,0.7,0.9,1.5,0.0,,,,,,
Double-scroll,ESN,0.002645685049006046,[0.99881442 0.99351201 0.99678353],40.0,0.7,0.9,1.5,0.05,,,,,,
Double-scroll,ESN,0.002196721659843725,[0.99888789 0.99389416 0.99759184],40.0,0.7,0.9,1.5,0.1,,,,,,
Double-scroll,ESN,0.002733994464294601,[0.99887543 0.99406308 0.9964691 ],40.0,0.7,0.9,1.5,0.15,,,,,,
Double-scroll,ESN,0.002600881934487327,[0.99894523 0.99464023 0.99662312],40.0,0.7,0.9,1.5,0.2,,,,,,
Double-scroll,ESN,0.004829391660882545,[0.99821489 0.9911414  0.99330248],40.0,0.7,0.9,2.0,0.0,,,,,,
Double-scroll,ESN,0.005695402025313274,[0.99793375 0.98920748 0.99189383],40.0,0.7,0.9,2.0,0.05,,,,,,
Double-scroll,ESN,0.0058982024426439345,[0.99769739 0.98754518 0.99203586],40.0,0.7,0.9,2.0,0.1,,,,,,
Double-scroll,ESN,0.0058777288262004575,[0.99798437 0.98863065 0.99164755],40.0,0.7,0.9,2.0,0.15,,,,,,
Double-scroll,ESN,0.005039584015852378,[0.99833208 0.99126727 0.99264879],40.0,0.7,0.9,2.0,0.2,,,,,,
Double-scroll,ESN,0.008576362652535563,[0.99702463 0.98507901 0.9874576 ],40.0,0.7,0.9,2.5,0.0,,,,,,
Double-scroll,ESN,0.009120732395246413,[0.99694191 0.98467275 0.98636452],40.0,0.7,0.9,2.5,0.05,,,,,,
Double-scroll,ESN,0.0098599600802769,[0.99647635 0.98125772 0.98591695],40.0,0.7,0.9,2.5,0.1,,,,,,
Double-scroll,ESN,0.009683669526216262,[0.9967959  0.98281149 0.98571738],40.0,0.7,0.9,2.5,0.15,,,,,,
Double-scroll,ESN,0.008433887909913425,[0.99748108 0.98692202 0.98695817],40.0,0.7,0.9,2.5,0.2,,,,,,
Double-scroll,ESN,0.01138888042900681,[0.99618497 0.9806164  0.98303548],40.0,0.7,0.9,3.0,0.0,,,,,,
Double-scroll,ESN,0.011800675025529048,[0.99597579 0.97992651 0.98251681],40.0,0.7,0.9,3.0,0.05,,,,,,
Double-scroll,ESN,0.012205832101215173,[0.99549921 0.97618395 0.9828818 ],40.0,0.7,0.9,3.0,0.1,,,,,,
Double-scroll,ESN,0.01244094804697933,[0.99556138 0.97698682 0.98217122],40.0,0.7,0.9,3.0,0.15,,,,,,
Double-scroll,ESN,0.012107194456197075,[0.99621688 0.98032346 0.98161352],40.0,0.7,0.9,3.0,0.2,,,,,,
Double-scroll,ESN,0.013754501853998262,[0.99538226 0.97611779 0.97968947],40.0,0.7,0.9,3.5,0.0,,,,,,
Double-scroll,ESN,0.013911437812663978,[0.99500446 0.9747988  0.98003204],40.0,0.7,0.9,3.5,0.05,,,,,,
Double-scroll,ESN,0.013944177317029157,[0.99441091 0.97086555 0.98136251],40.0,0.7,0.9,3.5,0.1,,,,,,
Double-scroll,ESN,0.014373185554941836,[0.99440618 0.97114556 0.98036578],40.0,0.7,0.9,3.5,0.15,,,,,,
Double-scroll,ESN,0.014778452748943256,[0.99487013 0.97320549 0.97865856],40.0,0.7,0.9,3.5,0.2,,,,,,
Double-scroll,ESN,0.015825369227781976,[0.99443366 0.97106033 0.9772267 ],40.0,0.7,0.9,4.0,0.0,,,,,,
Double-scroll,ESN,0.015490363120863215,[0.99406673 0.96979765 0.97860428],40.0,0.7,0.9,4.0,0.05,,,,,,
Double-scroll,ESN,0.015541041475796715,[0.99322009 0.96553816 0.98024624],40.0,0.7,0.9,4.0,0.1,,,,,,
Double-scroll,ESN,0.01583380751229515,[0.99338516 0.96582179 0.97933519],40.0,0.7,0.9,4.0,0.15,,,,,,
Double-scroll,ESN,0.01671019928257601,[0.9936404  0.96690122 0.97701239],40.0,0.7,0.9,4.0,0.2,,,,,,
Double-scroll,ESN,0.017601718462751693,[0.99338002 0.96607605 0.97544557],40.0,0.7,0.9,4.5,0.0,,,,,,
Double-scroll,ESN,0.016687076810046726,[0.99319276 0.9653572  0.97780101],40.0,0.7,0.9,4.5,0.05,,,,,,
Double-scroll,ESN,0.016941025117223854,[0.99204614 0.960987   0.97935501],40.0,0.7,0.9,4.5,0.1,,,,,,
Double-scroll,ESN,0.01697815195814641,[0.99247712 0.96153926 0.9786538 ],40.0,0.7,0.9,4.5,0.15,,,,,,
Double-scroll,ESN,0.018139940949066673,[0.992583   0.96213755 0.97594946],40.0,0.7,0.9,4.5,0.2,,,,,,
Double-scroll,ESN,0.019115871438172213,[0.99225812 0.96149199 0.97419564],40.0,0.7,0.9,5.0,0.0,,,,,,
Double-scroll,ESN,0.017707284783598756,[0.99230958 0.96167889 0.97722847],40.0,0.7,0.9,5.0,0.05,,,,,,
Double-scroll,ESN,0.018228366444765175,[0.99084827 0.95710982 0.97857314],40.0,0.7,0.9,5.0,0.1,,,,,,
Double-scroll,ESN,0.01798645381513613,[0.9915953  0.95813249 0.97805797],40.0,0.7,0.9,5.0,0.15,,,,,,
Double-scroll,ESN,0.019218471462161137,[0.99165655 0.95845062 0.97527292],40.0,0.7,0.9,5.0,0.2,,,,,,
Double-scroll,ESN,0.0007530454308158728,[0.99888771 0.99783792 0.9998998 ],40.0,0.7,0.95,0.1,0.0,,,,,,
Double-scroll,ESN,0.0005728185386286736,[0.99913055 0.99832136 0.99992825],40.0,0.7,0.95,0.1,0.05,,,,,,
Double-scroll,ESN,0.0007520963362075267,[0.99888143 0.99807167 0.99990397],40.0,0.7,0.95,0.1,0.1,,,,,,
Double-scroll,ESN,0.0011831963416011903,[0.99812855 0.99712563 0.99981826],40.0,0.7,0.95,0.1,0.15,,,,,,
Double-scroll,ESN,0.0009840250445749413,[0.99852613 0.9973964  0.99982653],40.0,0.7,0.95,0.1,0.2,,,,,,
Double-scroll,ESN,0.0002448909705580701,[0.99982035 0.99904288 0.99983814],40.0,0.7,0.95,0.5,0.0,,,,,,
Double-scroll,ESN,0.00029515062146293856,[0.99980305 0.99897921 0.99975649],40.0,0.7,0.95,0.5,0.05,,,,,,
Double-scroll,ESN,0.00040331277324816923,[0.99980676 0.99853193 0.99961266],40.0,0.7,0.95,0.5,0.1,,,,,,
Double-scroll,ESN,0.0003596262086966096,[0.99974236 0.99843671 0.9997853 ],40.0,0.7,0.95,0.5,0.15,,,,,,
Double-scroll,ESN,0.00031818413914245017,[0.99981324 0.99874546 0.99975091],40.0,0.7,0.95,0.5,0.2,,,,,,
Double-scroll,ESN,0.0011251575337313036,[0.99943211 0.99623578 0.99889138],40.0,0.7,0.95,1.0,0.0,,,,,,
Double-scroll,ESN,0.0011060996600528918,[0.99940933 0.99668671 0.99888242],40.0,0.7,0.95,1.0,0.05,,,,,,
Double-scroll,ESN,0.000858052445747119,[0.99947028 0.9970312  0.99926183],40.0,0.7,0.95,1.0,0.1,,,,,,
Double-scroll,ESN,0.0009910672109469786,[0.99947574 0.99679786 0.99902774],40.0,0.7,0.95,1.0,0.15,,,,,,
Double-scroll,ESN,0.001146370939444763,[0.99947018 0.99646112 0.99878743],40.0,0.7,0.95,1.0,0.2,,,,,,
Double-scroll,ESN,0.0023750854461929917,[0.99882805 0.99347145 0.99741937],40.0,0.7,0.95,1.5,0.0,,,,,,
Double-scroll,ESN,0.0028596263978114557,[0.99867621 0.99293783 0.99658251],40.0,0.7,0.95,1.5,0.05,,,,,,
Double-scroll,ESN,0.002238045240530519,[0.99877895 0.99354574 0.99767723],40.0,0.7,0.95,1.5,0.1,,,,,,
Double-scroll,ESN,0.00278192634918694,[0.99875229 0.99372955 0.99655244],40.0,0.7,0.95,1.5,0.15,,,,,,
Double-scroll,ESN,0.002775246111628844,[0.9987801  0.9940921  0.99652237],40.0,0.7,0.95,1.5,0.2,,,,,,
Double-scroll,ESN,0.004893851025474568,[0.9981485  0.99087107 0.99332494],40.0,0.7,0.95,2.0,0.0,,,,,,
Double-scroll,ESN,0.0057790341566786784,[0.99780043 0.98863591 0.99196885],40.0,0.7,0.95,2.0,0.05,,,,,,
Double-scroll,ESN,0.00581231055065397,[0.99757889 0.98712061 0.99243039],40.0,0.7,0.95,2.0,0.1,,,,,,
Double-scroll,ESN,0.005980007424903685,[0.99782721 0.98798966 0.99171981],40.0,0.7,0.95,2.0,0.15,,,,,,
Double-scroll,ESN,0.005284069450695585,[0.99812005 0.99037126 0.99253205],40.0,0.7,0.95,2.0,0.2,,,,,,
Double-scroll,ESN,0.008886572545564854,[0.99688869 0.98451103 0.98708365],40.0,0.7,0.95,2.5,0.0,,,,,,
Double-scroll,ESN,0.009481493134153772,[0.99675636 0.98384749 0.98593253],40.0,0.7,0.95,2.5,0.05,,,,,,
Double-scroll,ESN,0.010228657229926653,[0.99619095 0.98002909 0.98563611],40.0,0.7,0.95,2.5,0.1,,,,,,
Double-scroll,ESN,0.009966111862491826,[0.99659281 0.98179994 0.98550486],40.0,0.7,0.95,2.5,0.15,,,,,,
Double-scroll,ESN,0.008632698731047125,[0.99727539 0.9860117  0.98691982],40.0,0.7,0.95,2.5,0.2,,,,,,
Double-scroll,ESN,0.011788055392271905,[0.99598388 0.97990756 0.98251277],40.0,0.7,0.95,3.0,0.0,,,,,,
Double-scroll,ESN,0.012301471084513705,[0.99577505 0.97919013 0.98175611],40.0,0.7,0.95,3.0,0.05,,,,,,
Double-scroll,ESN,0.012835103491598561,[0.99518964 0.97489352 0.98205534],40.0,0.7,0.95,3.0,0.1,,,,,,
Double-scroll,ESN,0.012948150606030683,[0.99532155 0.97598164 0.98149204],40.0,0.7,0.95,3.0,0.15,,,,,,
