taskType,label,accuracy,corrcoeff,n,alpha,spectral_radius,input_scale,sparsity,hidden_dim,epochs,learning_rate,dropout_rate,seed,show_progress
XOR,ESN,0.8666666666666667,0.6181745029173755,3.0,0.7,0.95,1.5,0.2,,,,,,
XOR,ESN,0.7333333333333333,0.2062066661341466,3.0,0.7,0.95,2.0,0.0,,,,,,
XOR,ESN,0.7333333333333333,0.2628329585906115,3.0,0.7,0.95,2.0,0.05,,,,,,
XOR,ESN,0.7,0.22667124033408134,3.0,0.7,0.95,2.0,0.1,,,,,,
XOR,ESN,0.7666666666666667,0.46770705262295686,3.0,0.7,0.95,2.0,0.15,,,,,,
XOR,ESN,0.9666666666666667,0.7080754357955485,3.0,0.7,0.95,2.0,0.2,,,,,,
XOR,ESN,0.8,0.32192987833472825,3.0,0.7,0.95,2.5,0.0,,,,,,
XOR,ESN,0.7,0.2544047557482847,3.0,0.7,0.95,2.5,0.05,,,,,,
XOR,ESN,0.6666666666666666,0.20447377898351748,3.0,0.7,0.95,2.5,0.1,,,,,,
XOR,ESN,0.8,0.5444140521485749,3.0,0.7,0.95,2.5,0.15,,,,,,
XOR,ESN,1.0,0.7381056222160187,3.0,0.7,0.95,2.5,0.2,,,,,,
XOR,ESN,0.6666666666666666,0.30252040124234764,3.0,0.7,0.95,3.0,0.0,,,,,,
XOR,ESN,0.7666666666666667,0.15147902992625892,3.0,0.7,0.95,3.0,0.05,,,,,,
XOR,ESN,0.5666666666666667,0.2795603069393735,3.0,0.7,0.95,3.0,0.1,,,,,,
XOR,ESN,0.8666666666666667,0.5533459128326433,3.0,0.7,0.95,3.0,0.15,,,,,,
XOR,ESN,0.9666666666666667,0.7074592819801511,3.0,0.7,0.95,3.0,0.2,,,,,,
XOR,ESN,0.7666666666666667,0.29767662927552224,3.0,0.7,0.95,3.5,0.0,,,,,,
XOR,ESN,0.8,0.32169837034848847,3.0,0.7,0.95,3.5,0.05,,,,,,
XOR,ESN,0.7,0.26793263712659443,3.0,0.7,0.95,3.5,0.1,,,,,,
